module,type,name,res_id,src,value,comments
fleet,model,"fleet.vehicle.state,name",fleet.fleet_vehicle_state_downgraded,Downgraded,Degradado,
fleet,model,"fleet.vehicle.state,name",fleet.fleet_vehicle_state_new_request,New Request,Nueva solicitud,
fleet,model,"fleet.vehicle.state,name",fleet.fleet_vehicle_state_registered,Registered,Registrado,
fleet,model,"fleet.vehicle.state,name",fleet.fleet_vehicle_state_to_order,To Order,Por ordenar,
fleet,model,"ir.actions.act_window,name",fleet.fleet_config_settings_action,Settings,Ajustes,
fleet,model,"ir.actions.act_window,name",fleet.fleet_costs_reporting_action,Costs Analysis,Análisis de costos,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_costs_reporting_action,No data for analysis,No hay datos para el análisis,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_costs_reporting_action,Manage efficiently your different effective vehicles Costs with Odoo.,Gestione de forma eficiente los diferentes costos efectivos de sus diferentes vehículos con Odoo.,
fleet,model,"ir.actions.act_window,name",fleet.fleet_vehicle_action,Vehicles,Vehículos,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_action,Ready to manage your fleet more efficiently ?,¿Listo para gestionar su flota de forma más eficiente?,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_action,Let's create your first vehicle.,Vamos a crear su primer vehículo.,
fleet,model,"ir.actions.act_window,name",fleet.fleet_vehicle_log_contract_action,Contracts,Contratos,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_log_contract_action,Create a new contract,Crear un nuevo contrato,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_log_contract_action,"Manage all your contracts (leasing, insurances, etc.) with
            their related services, costs. Odoo will automatically warn
            you when some contracts have to be renewed.","Gestione todos sus contratos (leasing, seguros, etc) con
            sus servicios y costos relacionados. Odoo le advertirá automáticamente
            cuando se tengan que renovar algunos contratos.",
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_log_contract_action,"Each contract (e.g.: leasing) may include several services
            (reparation, insurances, periodic maintenance).","Cada contrato (por ejemplo, leasing) puede incluir varios servicios
            (reparación, seguros, mantenimiento periódico).",
fleet,model,"ir.actions.act_window,name",fleet.fleet_vehicle_log_services_action,Services,Servicios,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_log_services_action,Create a new service entry,Crear una nueva entrada de servicio,
